PK_DetEmpresas;cd_natureza_juridica;de_natureza_juridica;de_situacao;de_classif_natureza_juridica;fl_optante_simples;qt_filial;tipo_empresa;fl_optante_simei;de_saude_tributaria;de_nivel_atividade;nu_ordem
4;4014;EMPRESA INDIVIDUAL IMOBILIARIA;RS;BAIXADA;0;;PRIVADO;0;;INATIVA;
30162;2062;SOCIEDADE EMPRESARIA LIMITADA;AC;ATIVA;0;;PRIVADO;0;VERDE;ALTA;0
6931;2135;EMPRESARIO INDIVIDUAL;AM;ATIVA;0;;PRIVADO;0;AZUL;MEDIA;4
8915;2135;EMPRESARIO INDIVIDUAL;BA;ATIVA;1;1;PRIVADO;0;AZUL;ALTA;4
29595;2240;SOCIEDADE SIMPLES LIMITADA;DF;ATIVA;0;1;PRIVADO;0;VERDE;ALTA;0
13224;2062;SOCIEDADE EMPRESARIA LIMITADA;RO;ATIVA;0;;PRIVADO;0;VERDE;ALTA;3
22923;3999;ASSOCIACAO PRIVADA;SP;ATIVA;0;8;PRIVADO;0;VERDE;ALTA;2
13201;2135;EMPRESARIO INDIVIDUAL;RS;BAIXADA;0;;PRIVADO;0;VERDE;INATIVA;1
23048;3271;ORGAO DE DIRECAO LOCAL DE PARTIDO POLITICO;AP;ATIVA;0;;PUBLICO;0;AMARELO;MEDIA;0
23414;3999;ASSOCIACAO PRIVADA;TO;ATIVA;0;;PRIVADO;0;AMARELO;ALTA;1
12942;2062;SOCIEDADE EMPRESARIA LIMITADA;RJ;BAIXADA;0;;PRIVADO;0;VERDE;INATIVA;2
27750;2135;EMPRESARIO INDIVIDUAL;RJ;ATIVA;1;;PRIVADO;1;AZUL;MEDIA;1
23450;3999;ASSOCIACAO PRIVADA;PE;ATIVA;0;;PRIVADO;0;LARANJA;ALTA;2
23793;3999;ASSOCIACAO PRIVADA;PR;ATIVA;0;;PRIVADO;0;AZUL;MEDIA;1
13192;2062;SOCIEDADE EMPRESARIA LIMITADA;PR;BAIXADA;0;;PRIVADO;0;LARANJA;INATIVA;0
24341;2062;SOCIEDADE EMPRESARIA LIMITADA;RN;ATIVA;0;;PRIVADO;0;LARANJA;ALTA;0
25884;2305;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA;RS;ATIVA;1;;PRIVADO;0;VERDE;ALTA;0
26225;2313;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA SIMPLES;RJ;ATIVA;1;;PRIVADO;0;AZUL;MEDIA;3
27328;3085;CONDOMINIO EDILICIO;GO;ATIVA;0;;PRIVADO;0;AMARELO;ALTA;0
24174;3999;ASSOCIACAO PRIVADA;RN;BAIXADA;0;;PRIVADO;0;VERDE;INATIVA;1
13234;2062;SOCIEDADE EMPRESARIA LIMITADA;SC;ATIVA;0;;PRIVADO;0;LARANJA;BAIXA;2
28115;4120;PRODUTOR RURAL PESSOA FISICA;;BAIXADA;0;;PRIVADO;0;VERDE;INATIVA;2
6931;2135;EMPRESARIO INDIVIDUAL;AM;ATIVA;0;;PRIVADO;0;AZUL;MEDIA;2
30771;2313;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA SIMPLES;PA;ATIVA;0;;PRIVADO;0;VERMELHO;MEDIA;0
30816;2240;SOCIEDADE SIMPLES LIMITADA;PR;ATIVA;0;;PRIVADO;0;AZUL;MEDIA;0
30756;2135;EMPRESARIO INDIVIDUAL;PE;ATIVA;0;;PRIVADO;0;AMARELO;ALTA;1
33094;2062;SOCIEDADE EMPRESARIA LIMITADA;MT;ATIVA;0;;PRIVADO;0;LARANJA;MEDIA;1
31696;2135;EMPRESARIO INDIVIDUAL;AL;BAIXADA;0;;PRIVADO;0;LARANJA;INATIVA;0
23793;3999;ASSOCIACAO PRIVADA;PR;ATIVA;0;;PRIVADO;0;AZUL;MEDIA;0
50;2135;EMPRESARIO INDIVIDUAL;RS;BAIXADA;0;;PRIVADO;0;;INATIVA;
28083;2062;SOCIEDADE EMPRESARIA LIMITADA;SP;ATIVA;0;3;PRIVADO;0;AZUL;ALTA;1
33287;2135;EMPRESARIO INDIVIDUAL;AP;BAIXADA;0;;PRIVADO;0;AMARELO;INATIVA;0
33527;2062;SOCIEDADE EMPRESARIA LIMITADA;AL;ATIVA;1;1;PRIVADO;0;VERDE;ALTA;0
34225;2135;EMPRESARIO INDIVIDUAL;MT;ATIVA;1;;PRIVADO;1;AZUL;MEDIA;1
34278;2062;SOCIEDADE EMPRESARIA LIMITADA;PR;ATIVA;1;1;PRIVADO;0;VERDE;ALTA;0
26347;2305;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA;RJ;ATIVA;1;;PRIVADO;0;VERDE;MEDIA;0
26323;2240;SOCIEDADE SIMPLES LIMITADA;PR;BAIXADA;0;;PRIVADO;0;VERDE;INATIVA;0
35708;2054;SOCIEDADE ANONIMA FECHADA;SP;BAIXADA;0;;PRIVADO;0;CINZA;INATIVA;0
23032;3131;ENTIDADE SINDICAL;AC;ATIVA;0;;PRIVADO;0;AZUL;ALTA;0
1260;2135;EMPRESARIO INDIVIDUAL;TO;BAIXADA;0;;PRIVADO;0;;INATIVA;1
26485;2054;SOCIEDADE ANONIMA FECHADA;MT;ATIVA;0;;PRIVADO;0;VERDE;ALTA;1
31705;2054;SOCIEDADE ANONIMA FECHADA;ES;ATIVA;0;;PRIVADO;0;VERMELHO;MEDIA;0
5756;2062;SOCIEDADE EMPRESARIA LIMITADA;RS;ATIVA;0;;PRIVADO;0;VERMELHO;BAIXA;0
35622;2054;SOCIEDADE ANONIMA FECHADA;RS;ATIVA;0;;PRIVADO;0;VERDE;MEDIA;0
35696;2135;EMPRESARIO INDIVIDUAL;PB;ATIVA;1;;PRIVADO;1;AMARELO;ALTA;0
