PK_Endereco;nm_logradouro;nu_logradouro;nm_bairro;nm_municipio;sg_uf;vl_latitude;vl_longitude
3;RUA 7 DE SETEMBRO;190;99010060;CENTRO;PASSO FUNDO;-28,2618202;-52,4107045
8;RUA ANTONIO FARIA;50;05861010;JARDIM MARACA;SAO PAULO;-23,6707099;-46,7701827
11;AVENIDA REPUBLICA ARGENTINA;;80610260;PORTAO;CURITIBA;-25,4765562;-49,2930949
14;AVENIDA DANTAS BARRETO;564;50010923;STO ANTONIO;RECIFE;-8,0653594;-34,8789393
17;TRAVESSA DOUTOR MARIANO DE SIQUEIRA FILHO;3;02253100;PARQUE VITORIA;SAO PAULO;-23,4785756;-46,5942643
19;RUA MARGINAL;1150;04881015;JARDIM PAULO AFONSO;SAO PAULO;-23,680978;-46,766142
23;PASSEIO EUCLIDES DA CUNHA;95;66630505;BATISTA CAMPOS;BELEM;-1,4557549;-48,4901799
27;AVENIDA SAO LUIS;51;01046000;REPUBLICA;SAO PAULO;-23,5452513;-46,6430019
29;RUA ERNANI COTRIN;66;88780000;CENTRO;IMBITUBA;-28,2268154;-48,6709813
32;AVENIDA VISCONDE DE MAUA;3080;84050000;OFICINAS;PONTA GROSSA;-25,1357193;-50,1534817
35;RUA DAS ACACIAS;261;13468150;JARDIM SAO PAULO;AMERICANA;-22,751271;-47,3365359
37;RUA DOUTOR WLADIMIR SANTO MELLO;156;08210040;SANTO AMARO;SAO PAULO;-23,6403885;-46,674329
39;AVENIDA EDSON;368;24430380;QUINTO;SAO GONCALO;-22,8676092;-43,0404242
42;RUA CONS LAURINDO;260;81310415;CENTRO;CURITIBA;-25,4291242;-49,2654008
46;RUA ARI BARROSO;147;06216240;PRESIDENTE ALTINO;OSASCO;-23,5276336;-46,7725737
49;RUA 7 DE SETEMBRO;2619;97500000;CENTRO;URUGUAIANA;-29,7628604;-57,0814623
52;RODOVIA BR 364;SN;76970000;CENTRO;PIMENTA BUENO;-11,6852753;-61,1843294
55;RUA DOUTOR SIQUEIRA;371;25900094;CENTRO;MAGE;-22,6570119;-43,0399334
58;RUA SEVERIANO MELO;1;07151650;JARDIM LENIZE;GUARULHOS;-23,4054473;-46,4537665
61;RUA VICTOR ISSLER;133;91770070;ESPIRITO SANTO;PORTO ALEGRE;-30,1527965;-51,2178635
64;RUA JOSE LOBO VIANA;289;11088160;CASTELO;SANTOS;-23,9418933;-46,3794014
66;RUA ZALONY;171;96200070;CENTRO;RIO GRANDE;-32,0327785;-52,0946743
70;RUA PARANA;2040;85884000;CENTRO;MEDIANEIRA;-25,2969353;-54,107998
73;RODOVIA BR 116;SN;35300381;CENTRO;CARATINGA;-19,7718099;-42,1321586
76;RUA PADRE GREGORIO;63;35514000;CENTRO;ITAGUARA;-20,3915694;-44,4867487
78;RUA NOSSA SR DAS GRACAS;20;36570000;BOM JESUS;VICOSA;-20,7650684;-42,8827202
81;RUA SANTOS DUMONT;636;85270000;CENTRO;PALMITAL;-24,8872692;-52,2122211
85;RUA SERGIO NAPOLES FONSECA;323;30662530;CONJUNTO TUNEL IBIRITE BARREIRO;BELO HORIZONTE;-19,9166813;-43,9344931
87;AVENIDA JULIO ASSIS CAVALHEIRO;1770;85601000;CENTRO;FRANCISCO BELTRAO;-26,0747896;-53,0563523
90;AVENIDA ASSIS BRASIL;2464;91010002;CRISTO REDENTOR;PORTO ALEGRE;-30,010688;-51,1628285
93;BECO JOSE PARIS;226;91140310;SARANDI;PORTO ALEGRE;-29,9884481;-51,1163493
96;RUA TIRADENTE;1541;15670000;COHAB CONJUNTO HABITACIONAL POPULINA D;POPULINA;-19,9382542;-50,5338709
100;AVENIDA HONESTINO GUIMARAES;214;74510020;CAMPINAS;GOIANIA;-16,6719053;-49,2859288
104;RUA PADRE MAC KARTAN;92;96590000;CENTRO;SANTANA DA BOA VISTA;-30,8702334;-53,1105128
107;RODOVIA BR 429;;76937971;SAO DOMINGOS;COSTA MARQUES;-12,4273786;-64,2281326
111;RUA HELVECIO GOMES PIMENTA;16;27275100;RETIRO;VOLTA REDONDA;-22,5005889;-44,1124985
113;RUA LINS DE VASCONCELOS;520;20710130;LINS DE VASCONCELOS;RIO DE JANEIRO;-22,9101623;-43,2834982
116;RUA MARIA LUIZA;198;37022290;PARQUE ILEANA;VARGINHA;-21,5501154;-45,4263712
120;AVENIDA PARAGUAI;307;88400000;JARDIM AMERICA;ITUPORANGA;-27,408067;-49,6006728
122;RUA RIO GRANDE DO NORTE;80;15804050;HIGIENOPOLIS;CATANDUVA;-21,1296386;-48,9728012
125;RUA BENJAMIN CONSTANT;1205;28633000;CONSELHEIRO PAULINO;NOVA FRIBURGO;-22,23878;-42,5219765
128;RUA BARBARA HELIODORA;885;35010040;CENTRO;GOVERNADOR VALADARES;-18,8574026;-41,9490726
130;TRAVESSA SAO JOSE;90;64710000;CENTRO;PAES LANDIM;-7,7778196;-42,255252
133;AVENIDA FLORIANO PEIXOTO;1129;38400698;NOSSA SENHORA APARECIDA;UBERLANDIA;-18,9142079;-48,272871
135;RUA TAVARES MELLO;10;30670565;NOVA CACHOEIRINHA;BELO HORIZONTE;-19,8813862;-43,9475555
138;RUA NILO PECANHA;124;28660000;CENTRO;BOM JARDIM;-22,1520063;-42,4218856
141;AVENIDA ANTONIO FERNANDES;490;86160000;CENTRO;PORECATU;-22,7490273;-51,3748939
143;RUA JEREMIAS PEREIRA;184;63165000;CENTRO;NOVA OLINDA;-7,0967813;-39,6806383
147;RUA ALTAMIRO GUIMARAES;;88701971;OFICINAS;TUBARAO;-28,4885355;-49,0189649
150;RUA LOURENCO VAZ;10;03087060;PARQUE SAO JORGE;SAO PAULO;-23,5289177;-46,5665686
153;RUA NIQUEL;326;35701107;PROGRESSO;SETE LAGOAS;-19,4714858;-44,2216552
155;RUA JOSE ROLIM SOBRINHO;139;18460000;CENTRO;ITARARE;-24,1103162;-49,3242903
157;RUA LAGES;445;88160000;RIO CAVERAS;BIGUACU;-27,5032062;-48,6447842
159;AVENIDA NILO PECANHA;1058;25025000;PARQUE LAFAIETE;DUQUE DE CAXIAS;-22,785293;-43,3205735
161;RUA SANTA CATARINA;147;86010470;CENTRO;LONDRINA;-23,3118221;-51,1561271
164;RUA JOAO MARIA JR;750;11444610;VILA SANTA ROSA;GUARUJA;-23,9966301;-46,2822441
166;Q 509 BLOCO A;SN;70360510;ASA SUL;BRASILIA;-15,7539969;-47,8957826
169;RUA MARECHAL FLORIANO;607;96810000;CENTRO;SANTA CRUZ DO SUL;-29,7167558;-52,4279935
171;RUA OS DEZOITO DO FORTE;2551;95020472;SAO PELEGRINO;CAXIAS DO SUL;-29,1698857;-51,1872837
173;RUA FADEL;186;22430170;LEBLON;RIO DE JANEIRO;-22,9800954;-43,2209248
