PK_InfoEmpresas;nm_razao_social;fl_matriz
1;CELESTINO GILBERTO ROCCA;sim
7;VOUCANA ARTESANATO E DECORACOES LTDA SC;sim
10;NADIA BARK HAMDAR ME;sim
13;REPRESENTACOES IANCHE LTDA;sim
16;EMCEL SERVICOS EMPRESARIAIS LTDA;sim
18;ESQUADRIAS METALICAS ANHANGUERA IND E COM LTDA;sim
21;R D B COSTA REPRESENTACOES;sim
25;TRANSCONTINENTAL PARAGUAY COMERCIO E EXPORTACAO LTDA;sim
28;IMCOL IMBITUBA CONSTRUCOES LTDA;sim
31;ELOY ESPINDOLA & CIA;sim
34;G J DOS SANTOS & CIA LTDA;sim
36;MASILU ASSOCIADOS LTDA SC;sim
38;J M S MACHADO;sim
41;COM DE VEICULOS VL VELHA LTDA;sim
44;I D L INDUSTRIA DE DIVISORIAS LTDA;sim
47;WILSON SOARES COELHO ME;sim
51;BENEFICIADORA DE ARROZ TIJUCANO LTDA;sim
54;DROGARIA SAO LUCAS DE MAGE LTDA;sim
57;IGREJA EVANGELICA PENTECOSTAL PALAVRA DE DEUS;sim
60;JOSE FRANCISCO GONCALVES DE OLIVEIRA ME;sim
62;G DAMIAO DA SILVA;sim
65;MARISEL CALCADOS E CONFECCOES LTDA;sim
68;E M G FERREIRA CONFECCOES ME;sim
71;EDUARDO GOMES;sim
75;MAURI ALVES BELO;sim
77;SEBASTIAO VITOR DE QUEIROZ;sim
79;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL PARA PREFEITO PR PR;sim
83;EDUARDO RESENDE PEREIRA ME;sim
86;JEFERSON L ZORZO & CIA LTDA;sim
88;ALEJANDRO LEONEL BASILIADIS PEREZ;sim
91;BANES COMERCIO E REPRESENTACOES LTDA;sim
94;ELEICAO 2008 DEJANIRA VILELA PINTO VEREADOR;sim
98;DANIEL DO PRADO FIGUEIREDO;sim
102;ELEICAO 2008 JOSE ANTONIO CARVALHO JACOBSEN VEREADOR;sim
106;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL PARA VEREADOR RO PSDB;sim
109;ISOTACO COMERCIO E REPRESENTACOES LTDA ME;sim
112;PTIT CABELEIREIROS CENTRAL DE BELEZA LTDA;sim
114;AUTO MECANICA SETE AMIGOS LTDA;sim
118;ELIO MEES TRANSPORTES LTDA;sim
121;MILTON VICENTE CATANDUVA ME;sim
124;CONFECCOES CRISRAFA LTDA;sim
126;FILADELFO DE FREITAS HERINGER;sim
129;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL UNICO PI PP;sim
